"date","geography","geography code","Economic Activity: All usual residents aged 16 to 74; measures: Value","Economic Activity: Economically active; measures: Value","Economic Activity: Economically active: In employment; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically Inactive; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value","Economic Activity: Unemployed: Age 16 to 24; measures: Value","Economic Activity: Unemployed: Age 50 to 74; measures: Value","Economic Activity: Unemployed: Never worked; measures: Value","Economic Activity: Long-term unemployed; measures: Value"
"2011","Lincolnshire","E10000019",524197,357652,322612,75973,196958,49681,20035,15005,166545,95106,20830,20749,21076,8784,6078,4250,2617,7797
"2011","Northamptonshire","E10000021",506174,372720,337185,70097,219562,47526,20078,15457,133454,68299,19649,19466,16900,9140,5585,4097,2318,7589
"2011","Nottinghamshire","E10000024",578254,401265,363377,86589,227198,49590,22745,15143,176989,95255,23698,21883,25340,10813,7250,4256,3374,8707
"2011","Herefordshire, County of","E06000019",133442,95114,87590,20345,48094,19151,4353,3171,38328,22149,4845,4636,4600,2098,1308,976,493,1630
"2011","Shropshire","E06000051",223892,158983,146401,34760,83106,28535,7350,5232,64909,37833,8764,7529,7237,3546,2187,1569,856,2837
"2011","Stoke-on-Trent","E06000021",182808,119743,103269,24732,67097,11440,9715,6759,63065,26108,10260,8553,13223,4921,2993,1442,1589,3851
"2011","Telford and Wrekin","E06000020",122279,84947,75685,16530,50567,8588,5806,3456,37332,16798,6213,5923,6001,2397,1826,859,833,2359
"2011","Staffordshire","E10000028",629358,439182,398238,92188,248271,57779,22661,18283,190176,104794,28007,22191,23657,11527,6830,4615,2840,8821
"2011","Warwickshire","E10000031",401630,288343,263128,56523,166704,39901,13910,11305,113287,61205,19880,13783,12413,6006,3832,2990,1695,5316
"2011","Birmingham","E08000025",760252,488221,400679,96186,251668,52825,54114,33428,272031,81213,74102,48771,39917,28028,14994,8237,13444,22140
"2011","Coventry","E08000026",231871,153745,128764,29800,84624,14340,12532,12449,78126,27790,24219,10049,10487,5581,3521,1916,2394,4872
"2011","Dudley","E08000027",226726,155530,137720,33987,86654,17079,12064,5746,71196,36619,9636,10355,10060,4526,3479,2237,2035,5401
"2011","Sandwell","E08000028",219508,146653,124338,29779,81339,13220,16049,6266,72855,28582,11728,12859,12679,7007,4653,2550,3406,6937
"2011","Solihull","E08000029",148360,105108,94586,21701,59212,13673,6304,4218,43252,24019,6496,5506,4949,2282,2064,1201,983,2497
"2011","Walsall","E08000030",191974,126805,108668,26934,67743,13991,13006,5131,65169,28865,9544,11220,9974,5566,3936,2086,2690,5844
"2011","Wolverhampton","E08000031",179983,120402,99729,24364,63981,11384,14127,6546,59581,23763,11036,9479,9765,5538,3989,2241,2823,6236
"2011","Worcestershire","E10000034",415036,296083,268731,61898,162811,44022,15424,11928,118953,66567,17126,14474,13527,7259,4415,3579,1826,6030
"2011","Bedford","E06000055",113764,81782,72610,15841,45943,10826,5060,4112,31982,14517,6231,4918,3749,2567,1314,1037,733,1969
"2011","Central Bedfordshire","E06000056",186658,139525,127845,26069,81304,20472,6443,5237,47133,25111,7768,7346,4409,2499,1708,1548,711,2474
"2011","Luton","E06000032",145208,100272,83876,18407,53271,12198,8337,8059,44936,14336,10703,9660,5496,4741,2097,1340,1648,3186
"2011","Peterborough","E06000031",132318,95646,85370,18654,56704,10012,6691,3585,36672,15323,5104,7270,5484,3491,2008,1121,1129,2516
"2011","Southend-on-Sea","E06000033",125007,88324,78722,17949,47972,12801,6209,3393,36683,17655,4769,6298,5311,2650,1661,1191,773,2607
"2011","Thurrock","E06000034",114124,84464,75151,16370,48620,10161,6190,3123,29660,13377,3987,5903,4037,2356,1718,1030,946,2553
"2011","Cambridgeshire","E10000003",461380,332195,303634,61890,196394,45350,13775,14786,129185,58816,33690,17055,12220,7404,3812,2970,1577,5287
"2011","Essex","E10000012",1011611,719430,653605,145817,395312,112476,38074,27751,292181,155639,40372,47562,31887,16721,10661,8137,4667,15536
"2011","Hertfordshire","E10000015",806213,598438,544134,109693,341147,93294,28301,26003,207775,96720,40850,36518,20236,13451,7385,6041,3321,10928
"2011","Norfolk","E10000020",623798,424732,383638,94006,225180,64452,23678,17416,199066,111739,25667,25902,24187,11571,7092,4996,2882,9175
"2011","Suffolk","E10000029",525463,373282,340981,82248,204527,54206,18873,13428,152181,86545,17006,22120,16484,10026,5743,3807,2335,7184
"2011","Camden","E09000007",173833,118397,103986,13727,66955,23304,7755,6656,55436,11908,22734,7874,7663,5257,1461,1404,1580,3068
"2011","City of London","E09000001",6307,4972,4641,360,3245,1036,187,144,1335,580,363,153,116,123,29,44,25,65
"2011","Hackney","E09000012",187423,133883,113367,21394,68680,23293,13207,7309,53540,10441,16455,9262,9788,7594,2679,2023,2899,5385
"2011","Hammersmith and Fulham","E09000013",145552,107754,95640,11073,66703,17864,7060,5054,37798,9135,11919,6645,5670,4429,1364,1102,1288,2708
"2011","Haringey","E09000014",193062,138189,118886,21601,70472,26813,11730,7573,54873,13391,15945,9604,8448,7485,2212,1901,2619,4360
"2011","Islington","E09000019",165149,117488,102325,13596,69852,18877,8960,6203,47661,10204,16458,6611,8707,5681,1966,1412,1824,3590
"2011","Kensington and Chelsea","E09000020",126080,87517,79198,8583,51211,19404,5433,2886,38563,10119,11031,7740,4503,5170,915,1020,909,2298
"2011","Lambeth","E09000022",237730,183190,159823,22530,110465,26828,14255,9112,54540,13265,16062,8411,9068,7734,2810,2304,2725,5824
"2011","Lewisham","E09000023",206255,151793,128905,24079,82776,22050,12776,10112,54462,15088,15018,9179,8779,6398,2765,2074,2474,5064
"2011","Newham","E09000025",228958,153761,118862,26408,70712,21742,15734,19165,75197,13211,24959,16510,9728,10789,3695,2064,4623,5652
