x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
5.199938,10.78037,2021,E07000096,Dacorum,155081,8948,4411,5266,134602,1854,123783,80791,77199,3592,42992
10.263672,9.2150345,2021,E07000098,Hertsmere,107827,11320,5181,4038,83145,4143,86193,55526,52767,2759,30667
6.0212717,10.471035,2021,E07000099,North Hertfordshire,133210,6956,3235,4913,116620,1486,107743,70011,67162,2849,37732
10.814327,9.428223,2021,E07000102,Three Rivers,93772,14265,2233,3390,72316,1568,75002,49093,46947,2146,25909
10.301675,9.215995,2021,E07000103,Watford,102245,25037,6488,4844,62228,3648,80963,55941,52859,3082,25022
7.1615505,11.33704,2021,E07000105,Ashford,132747,7668,3424,2877,116896,1882,106770,66680,63616,3064,40090
5.4960833,11.191446,2021,E07000106,Canterbury,157429,6377,3906,4316,140473,2357,132778,71404,66169,5235,61374
10.114106,9.178861,2021,E07000107,Dartford,116754,11513,12282,3638,86936,2385,90698,61827,58823,3004,28871
8.884387,12.282171,2021,E07000108,Dover,116411,2402,837,1754,110419,999,96135,53982,50929,3053,42153
10.295741,9.230965,2021,E07000109,Gravesham,106902,11999,6952,2828,81893,3230,84556,53012,49761,3251,31544
3.6578288,10.967554,2021,E07000110,Maidstone,175781,8213,3606,4013,157864,2085,142136,90263,86409,3854,51873
8.540994,10.9828415,2021,E07000111,Sevenoaks,120515,3484,1932,3181,111005,913,96603,58728,56384,2344,37875
9.774115,11.222009,2021,E07000112,Folkestone and Hythe,109759,4271,682,2108,101614,1084,91555,50765,47819,2946,40790
5.243668,11.988998,2021,E07000113,Swale,151677,2312,3487,2741,142341,796,121998,73117,69201,3916,48881
5.963922,12.051002,2021,E07000114,Thanet,140587,3259,1481,3420,130719,1708,115413,63337,59189,4148,52076
7.38976,11.690798,2021,E07000115,Tonbridge and Malling,132201,3876,1314,2943,123287,781,105526,66991,64426,2565,38535
8.723421,10.945864,2021,E07000116,Tunbridge Wells,115314,4566,1131,2949,105562,1106,92402,58284,55898,2386,34118
11.401475,9.541175,2021,E07000117,Burnley,94651,13930,326,1505,78112,778,75200,42735,40035,2700,32465
