x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
-13.274048,10.85489,2021,E07000192,Cannock Chase,100523,1208,472,1422,97131,290,82478,51378,48877,2501,31100
-13.042742,11.281159,2021,E07000193,East Staffordshire,124021,11552,1376,2723,107051,1319,100507,62173,59316,2857,38334
-13.188826,10.941499,2021,E07000194,Lichfield,106436,2496,601,1987,100917,435,88597,52639,50473,2166,35958
-12.992516,11.281042,2021,E07000195,Newcastle-under-Lyme,123299,4642,1289,1988,114523,857,103184,59643,56683,2960,43541
-13.134304,11.024579,2021,E07000196,South Staffordshire,110475,3108,1031,2242,103570,524,93372,52966,50699,2267,40406
-12.652481,11.387904,2021,E07000197,Stafford,136870,4165,1440,2552,127805,908,113614,68385,65765,2620,45229
-13.265762,10.715711,2021,E07000198,Staffordshire Moorlands,95844,658,188,902,93931,165,80856,46650,45037,1613,34206
-13.498243,10.465807,2021,E07000199,Tamworth,78642,1081,492,1472,75309,288,63793,40229,38161,2068,23564
-13.360023,10.705117,2021,E07000200,Babergh,92342,875,503,1351,89269,344,77378,44824,42956,1868,32554
-12.415718,11.318872,2021,E07000202,Ipswich,139643,7611,4882,6409,117757,2984,111832,71116,67026,4090,40716
-13.186062,10.848291,2021,E07000203,Mid Suffolk,102701,821,553,1463,99463,401,86305,51759,50024,1735,34546
-12.525141,11.271684,2021,E07000207,Elmbridge,138755,9052,1730,5688,119500,2785,108774,70000,66980,3020,38774
-13.509621,10.520706,2021,E07000208,Epsom and Ewell,80937,9233,1569,3550,64312,2273,64607,41717,39910,1807,22890
-12.550947,11.58808,2021,E07000209,Guildford,143647,9630,2150,4386,124788,2693,119356,73429,69774,3655,45927
-13.431305,10.633283,2021,E07000210,Mole Valley,87387,2637,706,2194,81046,804,72339,44028,42342,1686,28311
-12.278793,11.468219,2021,E07000211,Reigate and Banstead,150846,11383,4415,5541,127334,2173,120127,78471,75124,3347,41656
-13.518951,10.750466,2021,E07000212,Runnymede,88079,8140,1591,3113,73557,1678,72719,45103,42456,2647,27616
-13.33017,10.987,2021,E07000213,Spelthorne,102960,13146,2548,3763,81000,2503,83363,54555,51540,3015,28808
-13.494681,10.762679,2021,E07000214,Surrey Heath,90456,8057,1428,2460,76901,1610,73785,47447,45364,2083,26338
-13.384422,10.595951,2021,E07000215,Tandridge,87877,3271,1929,3331,78584,762,70827,44452,42576,1876,26375
-12.823727,11.211847,2021,E07000216,Waverley,128226,3625,887,2846,120088,780,103639,63121,60725,2396,40518
-13.293302,10.932397,2021,E07000217,Woking,103943,14741,1879,3614,81529,2180,82984,55238,52744,2494,27746
-13.519073,10.174823,2021,E07000218,North Warwickshire,65036,844,364,1113,62514,201,53898,33210,31754,1456,20688
-12.906776,11.489418,2021,E07000219,Nuneaton and Bedworth,134198,10782,2446,2449,116939,1582,108590,66590,63115,3475,42000
-13.115037,11.084891,2021,E07000220,Rugby,114363,8728,3110,3202,98013,1310,92188,60387,58107,2280,31801
-12.608395,11.293084,2021,E07000221,Stratford-on-Avon,134724,2566,482,2288,128672,716,112639,68512,66236,2276,44127
-12.427746,11.595439,2021,E07000222,Warwick,148454,14403,1616,4479,125534,2422,123254,76199,72748,3451,47055
-13.561056,10.184787,2021,E07000223,Adur,64543,1395,530,1627,60294,697,52954,31271,29825,1446,21683
-11.954924,11.704509,2021,E07000224,Arun,164887,2630,857,2484,158002,914,139553,76832,73190,3642,62721
-12.898964,11.230779,2021,E07000225,Chichester,124071,2168,783,2047,118404,669,104709,59081,56365,2716,45628
-12.953701,11.137704,2021,E07000226,Crawley,118492,18236,5331,4838,86939,3148,93567,63548,58899,4649,30019
-12.387487,11.467101,2021,E07000227,Horsham,146776,3974,1312,3130,137442,918,120663,75077,72167,2910,45586
-12.227923,11.479745,2021,E07000228,Mid Sussex,152566,5505,1337,3827,140724,1173,123317,79510,76573,2937,43807
-13.170416,11.094274,2021,E07000229,Worthing,111338,4387,1281,2854,101709,1107,92355,56302,53557,2745,36053
-13.296701,10.810496,2021,E07000234,Bromsgrove,99183,3159,766,2414,92309,535,81102,49278,47288,1990,31824
-13.46734,10.461835,2021,E07000235,Malvern Hills,79487,1051,262,1119,76779,276,67122,37354,35802,1552,29768
-13.467451,10.636101,2021,E07000236,Redditch,87034,4995,1054,2283,78173,529,70250,44849,42692,2157,25401
-13.317674,11.01088,2021,E07000237,Worcester,103869,5860,1212,2283,93478,1036,85605,54601,51627,2974,31004
-12.677053,11.277514,2021,E07000238,Wychavon,132495,1510,461,1600,128325,599,110717,66063,63660,2403,44654
-13.291716,10.888661,2021,E07000239,Wyre Forest,101609,1939,395,1470,97423,382,84565,48237,45789,2448,36328
-12.243575,11.301719,2021,E07000240,St Albans,148169,12176,3159,6354,123865,2615,116090,75854,72870,2984,40236
-12.955657,11.211894,2021,E07000241,Welwyn Hatfield,119835,10595,7307,4931,94298,2704,97484,61950,58149,3801,35534
-12.235508,11.437105,2021,E07000242,East Hertfordshire,150159,4019,1951,4245,138587,1357,121151,79595,76526,3069,41556
-13.423316,10.688402,2021,E07000243,Stevenage,89498,6700,4340,3216,74099,1143,71239,47817,45463,2354,23422
